,bagni,locali,piano,prezzo(€),superficie
0,1.0,2.0,1.0,225000,50.0
1,1.0,2.0,0.3,159000,65.0
2,1.0,2.0,11.5,459000,85.0
3,2.0,5.0,11.5,850000,175.0
4,3.5,5.5,3.0,1100000,225.0
5,1.0,3.0,2.0,119000,85.0
6,1.0,3.0,1.0,149000,75.0
7,2.0,4.0,9.0,1300000,115.0
8,1.0,2.0,3.0,115000,58.0
9,3.0,5.5,3.0,695000,250.0
10,2.0,5.5,0.5,1220000,245.0
11,2.0,5.5,2.0,1380000,140.0
12,2.0,4.0,5.0,370000,139.0
13,3.0,4.0,3.0,359000,130.0
14,3.0,5.5,1.0,650000,170.0
15,3.0,5.5,4.0,800000,220.0
16,3.0,5.5,4.0,650000,193.0
17,1.0,2.0,3.0,339000,70.0
18,3.5,5.5,1.0,1100000,250.0
19,1.0,5.0,3.0,950000,170.0
20,3.0,5.5,11.5,940000,200.0
21,1.0,2.0,11.5,259000,55.0
22,2.0,4.0,1.0,460000,110.0
23,1.0,3.0,11.5,165000,60.0
24,2.0,4.0,11.5,189000,110.0
25,3.5,5.5,3.0,1080000,250.0
26,2.0,5.5,1.0,395000,130.0
27,1.0,3.0,0.5,125000,50.0
28,2.0,3.0,0.5,440000,130.0
29,1.0,2.0,0.5,139000,60.0
30,3.0,3.0,2.0,385000,100.0
31,2.0,4.0,3.0,269000,128.0
32,1.0,3.0,4.0,339000,90.0
33,3.0,5.5,4.0,745000,230.0
34,3.5,4.0,0.5,189000,168.0
35,2.0,5.5,2.0,1090000,190.0
36,1.0,2.0,7.0,238000,40.0
37,3.5,5.5,0.5,1700000,460.0
38,2.0,3.0,1.0,260000,78.0
39,1.0,2.0,0.5,119000,55.0
40,1.0,4.0,3.0,450000,120.0
41,3.0,5.5,3.0,895000,200.0
42,1.0,2.0,0.5,169000,80.0
43,2.0,4.0,3.0,539000,140.0
44,1.0,4.0,4.0,2150000,150.0
45,3.0,5.5,2.0,2500000,300.0
46,2.0,5.5,3.0,930000,150.0
47,2.0,4.0,4.0,449000,120.0
48,2.0,5.5,3.0,850000,204.0
49,2.0,5.5,5.0,1680000,210.0
50,1.0,3.0,0.0,239000,87.0
51,1.0,2.0,1.0,119000,65.0
52,1.0,2.0,3.0,620000,65.0
53,1.0,2.0,5.0,229000,70.0
54,2.0,3.0,5.0,800000,125.0
55,3.5,5.5,0.3,1570000,260.0
56,2.0,4.0,1.0,690000,127.0
57,1.0,2.0,5.0,289000,65.0
58,1.0,3.0,0.5,159000,55.0
59,2.0,3.0,11.5,149000,63.0
60,2.0,4.0,4.0,480000,121.0
61,1.0,4.0,4.0,655000,93.0
62,1.0,3.0,3.0,680000,90.0
63,3.0,5.5,3.0,1050000,235.0
64,1.0,2.0,4.0,165000,78.0
65,1.0,3.0,2.0,275000,72.0
66,1.0,3.0,1.0,375000,92.0
67,1.0,2.0,1.0,139000,72.0
68,2.0,3.0,5.0,315000,92.0
69,3.0,5.5,4.0,1650000,220.0
70,2.0,5.0,2.0,579000,160.0
71,2.0,3.0,2.0,269000,87.0
72,2.0,4.0,4.0,450000,166.0
73,2.0,5.0,0.5,739000,150.0
74,2.0,5.0,1.0,1050000,145.0
75,3.0,5.5,11.5,1900000,275.0
76,2.0,4.0,1.0,650000,130.0
77,2.0,3.0,3.0,269000,87.0
78,3.5,5.5,1.0,1499000,250.0
79,3.0,4.0,3.0,519000,150.0
80,2.0,3.0,1.0,520000,105.0
81,2.0,3.0,0.0,730000,160.0
82,2.0,4.0,1.0,255000,130.0
83,2.0,3.0,1.0,279000,100.0
84,3.0,5.0,0.5,1250000,185.0
85,2.0,5.0,4.0,1150000,160.0
86,2.0,5.0,1.0,410000,141.0
87,3.5,5.5,1.0,1070000,230.0
88,1.0,4.0,2.0,849000,127.0
89,1.0,2.0,0.5,68000,20.0
90,1.0,3.0,3.0,320000,76.0
91,1.0,2.0,1.0,249000,75.0
92,2.0,4.0,11.5,269000,142.0
93,1.0,3.0,1.0,215000,67.0
94,3.5,5.5,2.0,1600000,340.0
95,3.0,5.0,2.0,1300000,170.0
96,3.5,5.5,5.0,3700000,250.0
97,1.0,3.0,0.5,279000,110.0
98,2.0,5.0,2.0,690000,140.0
99,1.0,2.0,4.0,235000,56.0
100,3.0,5.0,1.0,1560000,191.0
101,2.0,4.0,2.0,1350000,200.0
102,2.0,5.5,2.0,850000,183.0
103,1.0,3.0,11.5,199000,90.0
104,2.0,5.5,1.0,670000,180.0
105,1.0,5.0,2.0,795000,115.0
106,2.0,4.0,1.0,199000,125.0
107,1.0,2.0,5.0,135000,60.0
108,3.0,5.5,4.0,1650000,340.0
109,1.0,2.0,4.0,680000,70.0
110,3.0,5.5,1.0,1170000,300.0
111,1.0,5.0,4.0,499000,159.0
112,2.0,5.0,3.0,450000,150.0
113,2.0,5.0,2.0,549000,85.0
114,3.0,5.5,1.0,595000,135.0
115,3.5,5.5,0.3,1599000,270.0
116,2.0,4.0,2.0,695000,100.0
117,2.0,5.5,3.0,499000,123.0
118,1.0,3.0,5.0,279000,120.0
119,1.0,4.0,11.5,450000,134.0
120,1.0,5.5,3.0,1100000,154.0
121,3.0,5.5,11.5,699000,174.0
122,1.0,3.0,2.0,390000,93.0
123,1.0,3.0,2.0,349000,100.0
124,3.5,5.5,3.0,1800000,250.0
125,1.0,3.0,3.0,375000,120.0
126,2.0,5.5,2.0,3200000,212.0
127,2.0,4.0,4.0,1350000,137.0
128,2.0,4.0,11.5,250000,110.0
129,2.0,5.5,0.3,1050000,290.0
130,1.0,2.0,0.5,169000,58.0
131,2.0,3.0,2.0,419000,100.0
132,2.0,3.0,1.0,549000,109.0
133,3.0,5.5,3.0,670000,227.0
134,1.0,5.5,1.0,720000,145.0
135,1.0,2.0,2.0,215000,52.0
136,2.0,3.0,5.0,325000,100.0
137,1.0,2.0,0.3,480000,60.0
138,1.0,4.0,4.0,530000,96.0
139,2.0,5.5,11.5,1290000,210.0
140,3.5,5.5,3.0,1790000,250.0
141,2.0,5.0,1.0,359000,122.0
142,2.0,4.0,2.0,350000,130.0
143,3.5,5.5,1.0,1450000,321.0
144,2.0,3.0,1.0,450000,90.0
145,2.0,5.5,4.0,820000,209.0
146,2.0,3.0,2.0,239000,110.0
147,1.0,3.0,3.0,369000,83.0
148,3.5,5.5,1.0,1140000,260.0
149,2.0,3.0,2.0,230000,105.0
150,1.0,3.0,2.0,285000,80.0
151,2.0,5.0,0.3,660000,148.0
152,2.0,3.0,0.5,328000,98.0
153,3.5,5.5,3.0,4200000,400.0
154,1.0,2.0,0.5,380000,60.0
155,1.0,2.0,3.0,430000,68.0
156,1.0,2.0,1.0,79000,58.0
157,2.0,5.0,4.0,669000,86.0
158,2.0,3.0,4.0,425000,72.0
159,2.0,4.0,5.0,574000,89.0
160,1.0,3.0,3.0,400000,60.0
161,1.0,2.0,4.0,300000,46.0
162,2.0,3.0,3.0,500000,89.0
163,3.5,5.5,11.5,1250000,245.0
164,2.0,5.5,1.0,539000,180.0
165,2.0,3.0,0.3,630000,124.0
166,1.0,2.0,3.0,125000,70.0
167,2.0,5.0,0.5,450000,180.0
168,2.0,5.0,2.0,440000,160.0
169,3.0,5.5,3.0,820000,260.0
170,2.0,3.0,1.0,320000,110.0
171,1.0,3.0,0.5,300000,98.0
172,1.0,2.0,11.5,320000,68.0
173,1.0,2.0,5.0,240000,70.0
174,3.0,5.5,5.0,1380000,220.0
175,3.0,5.0,4.0,790000,168.0
176,1.0,2.0,1.0,239000,52.0
177,1.0,2.0,3.0,449000,93.0
178,3.5,5.5,4.0,775000,160.0
179,1.0,1.0,0.5,680000,125.0
180,2.0,4.0,1.0,339000,120.0
